order_id,order_date,customer_id,city,province,product_id,brand,quantity,item_price
1703458,10/17/2019,14004,Jakarta Selatan,DKI Jakarta,P1910,BRAND_J,10,740000
1706815,10/24/2019,17220,Jakarta Selatan,DKI Jakarta,P2934,BRAND_R,2,604000
1710718,11/3/2019,16518,Jakarta Utara,DKI Jakarta,P0908,BRAND_C,8,1045000
1683592,8/19/2019,16364,Jakarta Barat,DKI Jakarta,P0128,BRAND_A,4,205000
1702573,10/16/2019,15696,Jakarta Timur,DKI Jakarta,P2968,BRAND_R,2,4475000
1672906,7/16/2019,12748,Jakarta Utara,DKI Jakarta,P0710,BRAND_C,4,520000
1711399,11/4/2019,16791,Jakarta Barat,DKI Jakarta,P0860,BRAND_C,1,1465000
1695367,9/26/2019,13069,Surakarta,Jawa Tengah,P3342,BRAND_S,2,205000
1741846,12/30/2019,16873,Jakarta Barat,DKI Jakarta,P3203,BRAND_S,32,450000
1720189,11/24/2019,14723,Tangerang,Banten,P1701,BRAND_H,2,149000
1683583,8/19/2019,13814,Denpasar,Bali,P2864,BRAND_R,6,1045000
1693309,9/19/2019,17841,Jakarta Utara,DKI Jakarta,P1798,BRAND_H,1,604000
1708381,10/29/2019,13895,Tangerang,Banten,P2074,BRAND_L,3,2200000
1705093,10/21/2019,16999,Jakarta Utara,DKI Jakarta,P2521,BRAND_P,4,1745000
1734790,12/18/2019,17422,Jakarta Selatan,DKI Jakarta,P0122,BRAND_A,12,695000
1678960,8/5/2019,14552,Tangerang,Banten,P3482,BRAND_S,1,904000
1668715,7/4/2019,13397,Surabaya,Jawa Timur,P1902,BRAND_J,10,740000
1714324,11/11/2019,14096,Surakarta,Jawa Tengah,P2022,BRAND_L,1,1748000
1669411,7/7/2019,15291,Jakarta Pusat,DKI Jakarta,P0931,BRAND_C,4,1395000
1731961,12/13/2019,13880,Bogor,Jawa Barat,P2853,BRAND_R,6,740000
1690672,9/11/2019,15786,Jakarta Selatan,DKI Jakarta,P3273,BRAND_S,12,520000
1709671,10/31/2019,14738,Bandung,Jawa Barat,P4080,BRAND_W,24,113000
1670806,7/10/2019,17651,Jakarta Pusat,DKI Jakarta,P1899,BRAND_J,10,740000
1703659,10/17/2019,12930,Yogyakarta,Yogyakarta,P1741,BRAND_H,6,1045000
1698916,10/7/2019,14110,Bogor,Jawa Barat,P0817,BRAND_C,12,520000
1668391,7/4/2019,15738,Jakarta Selatan,DKI Jakarta,P3409,BRAND_S,12,310000
1702162,10/15/2019,17450,Bogor,Jawa Barat,P3958,BRAND_W,96,607000
1721629,11/26/2019,16360,Bandung,Jawa Barat,P1879,BRAND_J,1,219000
1718260,11/19/2019,15856,Jakarta Utara,DKI Jakarta,P0456,BRAND_B,10,149000
1719550,11/22/2019,15028,Jakarta Selatan,DKI Jakarta,P3194,BRAND_S,18,1150000
1675705,7/25/2019,16316,Jakarta Timur,DKI Jakarta,P2560,BRAND_P,36,79000
1710385,11/1/2019,13689,Malang,Jawa Timur,P1900,BRAND_J,100,639000
1705585,10/22/2019,13979,Jakarta Pusat,DKI Jakarta,P3592,BRAND_S,3,1745000
1689703,9/9/2019,13621,Jakarta Selatan,DKI Jakarta,P2789,BRAND_P,100,26000
1724590,12/2/2019,15719,Jakarta Barat,DKI Jakarta,P1892,BRAND_J,4,740000
1741561,12/29/2019,13521,Bandung,Jawa Barat,P3344,BRAND_S,2,520000
1715014,11/12/2019,16940,Jakarta Timur,DKI Jakarta,P4064,BRAND_W,4,303000
1697179,10/1/2019,14360,Yogyakarta,Yogyakarta,P2977,BRAND_R,4,1325000
1735633,12/19/2019,17096,Jakarta Selatan,DKI Jakarta,P3285,BRAND_S,4,1325000
1714633,11/11/2019,17757,Tangerang,Banten,P0491,BRAND_B,3,450000
1714369,11/11/2019,16729,Jakarta Utara,DKI Jakarta,P2102,BRAND_L,10,590000
1683103,8/18/2019,15506,Jakarta Pusat,DKI Jakarta,P2411,BRAND_P,1,113000
1688833,9/5/2019,13985,Bekasi,Jawa Barat,P3588,BRAND_S,12,695000
1716136,11/14/2019,14527,Depok,Jawa Barat,P2598,BRAND_P,3,695000
1719328,11/21/2019,15144,Jakarta Barat,DKI Jakarta,P1802,BRAND_H,8,1745000
1705150,10/22/2019,13514,Surabaya,Jawa Timur,P4075,BRAND_W,12,1045000
1725274,12/3/2019,17160,Jakarta Utara,DKI Jakarta,P3045,BRAND_R,12,450000
1707076,10/25/2019,18041,Bekasi,Jawa Barat,P1772,BRAND_H,1,240000
1729846,12/10/2019,17231,Bekasi,Jawa Barat,P3537,BRAND_S,2,1745000
1668991,7/5/2019,17797,Jakarta Selatan,DKI Jakarta,P1983,BRAND_L,1,2900000
1729615,12/10/2019,14725,Jakarta Utara,DKI Jakarta,P0737,BRAND_C,10,310000
1726822,12/5/2019,14096,Surakarta,Jawa Tengah,P0790,BRAND_C,1,1164000
1741513,12/29/2019,17936,Bekasi,Jawa Barat,P0794,BRAND_C,12,159000
1709704,10/31/2019,12923,Jakarta Timur,DKI Jakarta,P0171,BRAND_A,1,1325000
1700752,10/10/2019,18259,Malang,Jawa Timur,P0232,BRAND_A,12,450000
